Kod stanowiska,Data,Wartość,id_stacji
DsCzerStraza-NO-1g,2026-05-31 09:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-31 08:00:00,0.4,49
DsCzerStraza-NO-1g,2026-05-31 07:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-31 06:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-31 05:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-31 04:00:00,0.4,49
DsCzerStraza-NO-1g,2026-05-31 03:00:00,0.4,49
DsCzerStraza-NO-1g,2026-05-31 02:00:00,0.4,49
DsCzerStraza-NO-1g,2026-05-31 01:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-31 00:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-30 23:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-30 22:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-30 21:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-30 20:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-30 19:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 18:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 17:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-30 16:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-30 15:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 14:00:00,0.3,49
DsCzerStraza-NO2-1g,2026-05-31 09:00:00,1.0,50
DsCzerStraza-NO2-1g,2026-05-31 08:00:00,1.3,50
DsCzerStraza-NO2-1g,2026-05-31 07:00:00,1.5,50
DsCzerStraza-NO2-1g,2026-05-31 06:00:00,1.1,50
DsCzerStraza-NO2-1g,2026-05-31 05:00:00,1.2,50
DsCzerStraza-NO2-1g,2026-05-31 04:00:00,0.8,50
DsCzerStraza-NO2-1g,2026-05-31 03:00:00,1.4,50
DsCzerStraza-NO2-1g,2026-05-31 02:00:00,2.3,50
DsCzerStraza-NO2-1g,2026-05-31 01:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-05-31 00:00:00,1.6,50
DsCzerStraza-NO2-1g,2026-05-30 23:00:00,1.5,50
DsCzerStraza-NO2-1g,2026-05-30 22:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-05-30 21:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-05-30 20:00:00,1.7,50
DsCzerStraza-NO2-1g,2026-05-30 19:00:00,1.8,50
DsCzerStraza-NO2-1g,2026-05-30 18:00:00,1.0,50
DsCzerStraza-NO2-1g,2026-05-30 17:00:00,1.3,50
DsCzerStraza-NO2-1g,2026-05-30 16:00:00,1.3,50
DsCzerStraza-NO2-1g,2026-05-30 15:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-05-30 14:00:00,1.5,50
DsCzerStraza-NOx-1g,2026-05-31 09:00:00,1.7,51
DsCzerStraza-NOx-1g,2026-05-31 08:00:00,2.0,51
DsCzerStraza-NOx-1g,2026-05-31 07:00:00,2.0,51
DsCzerStraza-NOx-1g,2026-05-31 06:00:00,1.8,51
DsCzerStraza-NOx-1g,2026-05-31 05:00:00,1.6,51
DsCzerStraza-NOx-1g,2026-05-31 04:00:00,1.4,51
DsCzerStraza-NOx-1g,2026-05-31 03:00:00,2.1,51
DsCzerStraza-NOx-1g,2026-05-31 02:00:00,2.8,51
DsCzerStraza-NOx-1g,2026-05-31 01:00:00,2.5,51
DsCzerStraza-NOx-1g,2026-05-31 00:00:00,2.1,51
DsCzerStraza-NOx-1g,2026-05-30 23:00:00,1.9,51
DsCzerStraza-NOx-1g,2026-05-30 22:00:00,2.4,51
DsCzerStraza-NOx-1g,2026-05-30 21:00:00,2.7,51
DsCzerStraza-NOx-1g,2026-05-30 20:00:00,2.2,51
DsCzerStraza-NOx-1g,2026-05-30 19:00:00,2.6,51
DsCzerStraza-NOx-1g,2026-05-30 18:00:00,1.9,51
DsCzerStraza-NOx-1g,2026-05-30 17:00:00,2.1,51
DsCzerStraza-NOx-1g,2026-05-30 16:00:00,2.0,51
DsCzerStraza-NOx-1g,2026-05-30 15:00:00,2.9,51
DsCzerStraza-NOx-1g,2026-05-30 14:00:00,1.9,51
DsCzerStraza-O3-1g,2026-05-31 09:00:00,81.3,52
DsCzerStraza-O3-1g,2026-05-31 08:00:00,76.4,52
DsCzerStraza-O3-1g,2026-05-31 07:00:00,76.6,52
DsCzerStraza-O3-1g,2026-05-31 06:00:00,78.2,52
DsCzerStraza-O3-1g,2026-05-31 05:00:00,80.2,52
DsCzerStraza-O3-1g,2026-05-31 04:00:00,83.2,52
DsCzerStraza-O3-1g,2026-05-31 03:00:00,84.3,52
DsCzerStraza-O3-1g,2026-05-31 02:00:00,83.0,52
DsCzerStraza-O3-1g,2026-05-31 01:00:00,81.3,52
DsCzerStraza-O3-1g,2026-05-31 00:00:00,83.1,52
DsCzerStraza-O3-1g,2026-05-30 23:00:00,82.9,52
DsCzerStraza-O3-1g,2026-05-30 22:00:00,84.8,52
DsCzerStraza-O3-1g,2026-05-30 21:00:00,87.7,52
DsCzerStraza-O3-1g,2026-05-30 20:00:00,91.3,52
DsCzerStraza-O3-1g,2026-05-30 19:00:00,98.0,52
DsCzerStraza-O3-1g,2026-05-30 18:00:00,99.9,52
DsCzerStraza-O3-1g,2026-05-30 17:00:00,101.0,52
DsCzerStraza-O3-1g,2026-05-30 16:00:00,102.5,52
DsCzerStraza-O3-1g,2026-05-30 15:00:00,110.8,52
DsCzerStraza-O3-1g,2026-05-30 14:00:00,110.5,52
DsCzerStraza-PM10-1g,2026-05-31 09:00:00,,54
DsCzerStraza-PM10-1g,2026-05-31 08:00:00,10.7,54
DsCzerStraza-PM10-1g,2026-05-31 07:00:00,13.6,54
DsCzerStraza-PM10-1g,2026-05-31 06:00:00,11.4,54
DsCzerStraza-PM10-1g,2026-05-31 05:00:00,16.4,54
DsCzerStraza-PM10-1g,2026-05-31 04:00:00,17.0,54
DsCzerStraza-PM10-1g,2026-05-31 03:00:00,14.6,54
DsCzerStraza-PM10-1g,2026-05-31 02:00:00,15.4,54
DsCzerStraza-PM10-1g,2026-05-31 01:00:00,12.2,54
DsCzerStraza-PM10-1g,2026-05-31 00:00:00,14.5,54
DsCzerStraza-PM10-1g,2026-05-30 23:00:00,15.6,54
DsCzerStraza-PM10-1g,2026-05-30 22:00:00,17.5,54
DsCzerStraza-PM10-1g,2026-05-30 21:00:00,23.6,54
DsCzerStraza-PM10-1g,2026-05-30 20:00:00,28.7,54
DsCzerStraza-PM10-1g,2026-05-30 19:00:00,24.5,54
DsCzerStraza-PM10-1g,2026-05-30 18:00:00,13.3,54
DsCzerStraza-PM10-1g,2026-05-30 17:00:00,13.7,54
DsCzerStraza-PM10-1g,2026-05-30 16:00:00,17.6,54
DsCzerStraza-PM10-1g,2026-05-30 15:00:00,24.5,54
DsCzerStraza-PM10-1g,2026-05-30 14:00:00,16.1,54
DsDziePilsud-PM10-1g,2026-05-31 09:00:00,,101
DsDziePilsud-PM10-1g,2026-05-31 08:00:00,17.9,101
DsDziePilsud-PM10-1g,2026-05-31 07:00:00,13.3,101
DsDziePilsud-PM10-1g,2026-05-31 06:00:00,13.0,101
DsDziePilsud-PM10-1g,2026-05-31 05:00:00,12.6,101
DsDziePilsud-PM10-1g,2026-05-31 04:00:00,12.7,101
DsDziePilsud-PM10-1g,2026-05-31 03:00:00,10.2,101
DsDziePilsud-PM10-1g,2026-05-31 02:00:00,10.6,101
DsDziePilsud-PM10-1g,2026-05-31 01:00:00,17.4,101
DsDziePilsud-PM10-1g,2026-05-31 00:00:00,14.5,101
DsDziePilsud-PM10-1g,2026-05-30 23:00:00,13.2,101
DsDziePilsud-PM10-1g,2026-05-30 22:00:00,14.8,101
