Kod stanowiska,Data,Wartość,id_stanowiska
DsCzerStraza-NO-1g,2026-06-01 19:00:00,0.5,49
DsCzerStraza-NO-1g,2026-06-01 18:00:00,0.5,49
DsCzerStraza-NO-1g,2026-06-01 17:00:00,0.4,49
DsCzerStraza-NO-1g,2026-06-01 16:00:00,0.4,49
DsCzerStraza-NO-1g,2026-06-01 15:00:00,0.5,49
DsCzerStraza-NO-1g,2026-06-01 14:00:00,0.5,49
DsCzerStraza-NO-1g,2026-06-01 13:00:00,0.1,49
DsCzerStraza-NO-1g,2026-06-01 12:00:00,0.5,49
DsCzerStraza-NO-1g,2026-06-01 11:00:00,0.6,49
DsCzerStraza-NO-1g,2026-06-01 10:00:00,0.7,49
DsCzerStraza-NO-1g,2026-06-01 09:00:00,0.6,49
DsCzerStraza-NO-1g,2026-06-01 08:00:00,0.7,49
DsCzerStraza-NO-1g,2026-06-01 07:00:00,0.4,49
DsCzerStraza-NO-1g,2026-06-01 06:00:00,0.4,49
DsCzerStraza-NO-1g,2026-06-01 05:00:00,0.4,49
DsCzerStraza-NO-1g,2026-06-01 04:00:00,0.4,49
DsCzerStraza-NO-1g,2026-06-01 03:00:00,0.2,49
DsCzerStraza-NO-1g,2026-06-01 02:00:00,0.2,49
DsCzerStraza-NO-1g,2026-06-01 01:00:00,,49
DsCzerStraza-NO-1g,2026-06-01 00:00:00,0.2,49
DsCzerStraza-NO2-1g,2026-06-01 19:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-06-01 18:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-06-01 17:00:00,2.2,50
DsCzerStraza-NO2-1g,2026-06-01 16:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-06-01 15:00:00,2.2,50
DsCzerStraza-NO2-1g,2026-06-01 14:00:00,2.4,50
DsCzerStraza-NO2-1g,2026-06-01 13:00:00,1.8,50
DsCzerStraza-NO2-1g,2026-06-01 12:00:00,1.5,50
DsCzerStraza-NO2-1g,2026-06-01 11:00:00,1.5,50
DsCzerStraza-NO2-1g,2026-06-01 10:00:00,2.8,50
DsCzerStraza-NO2-1g,2026-06-01 09:00:00,3.8,50
DsCzerStraza-NO2-1g,2026-06-01 08:00:00,3.9,50
DsCzerStraza-NO2-1g,2026-06-01 07:00:00,3.8,50
DsCzerStraza-NO2-1g,2026-06-01 06:00:00,1.6,50
DsCzerStraza-NO2-1g,2026-06-01 05:00:00,2.2,50
DsCzerStraza-NO2-1g,2026-06-01 04:00:00,6.0,50
DsCzerStraza-NO2-1g,2026-06-01 03:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-06-01 02:00:00,2.4,50
DsCzerStraza-NO2-1g,2026-06-01 01:00:00,,50
DsCzerStraza-NO2-1g,2026-06-01 00:00:00,2.1,50
DsCzerStraza-NOx-1g,2026-06-01 19:00:00,2.8,51
DsCzerStraza-NOx-1g,2026-06-01 18:00:00,2.7,51
DsCzerStraza-NOx-1g,2026-06-01 17:00:00,2.8,51
DsCzerStraza-NOx-1g,2026-06-01 16:00:00,2.4,51
DsCzerStraza-NOx-1g,2026-06-01 15:00:00,3.0,51
DsCzerStraza-NOx-1g,2026-06-01 14:00:00,3.1,51
DsCzerStraza-NOx-1g,2026-06-01 13:00:00,1.9,51
DsCzerStraza-NOx-1g,2026-06-01 12:00:00,2.3,51
DsCzerStraza-NOx-1g,2026-06-01 11:00:00,2.5,51
DsCzerStraza-NOx-1g,2026-06-01 10:00:00,3.9,51
DsCzerStraza-NOx-1g,2026-06-01 09:00:00,4.7,51
DsCzerStraza-NOx-1g,2026-06-01 08:00:00,5.0,51
DsCzerStraza-NOx-1g,2026-06-01 07:00:00,4.5,51
DsCzerStraza-NOx-1g,2026-06-01 06:00:00,2.2,51
DsCzerStraza-NOx-1g,2026-06-01 05:00:00,2.8,51
DsCzerStraza-NOx-1g,2026-06-01 04:00:00,6.6,51
DsCzerStraza-NOx-1g,2026-06-01 03:00:00,2.3,51
DsCzerStraza-NOx-1g,2026-06-01 02:00:00,2.7,51
DsCzerStraza-NOx-1g,2026-06-01 01:00:00,,51
DsCzerStraza-NOx-1g,2026-06-01 00:00:00,2.4,51
DsCzerStraza-O3-1g,2026-06-01 19:00:00,87.6,52
DsCzerStraza-O3-1g,2026-06-01 18:00:00,88.3,52
DsCzerStraza-O3-1g,2026-06-01 17:00:00,88.2,52
DsCzerStraza-O3-1g,2026-06-01 16:00:00,84.6,52
DsCzerStraza-O3-1g,2026-06-01 15:00:00,87.8,52
DsCzerStraza-O3-1g,2026-06-01 14:00:00,88.4,52
DsCzerStraza-O3-1g,2026-06-01 13:00:00,81.3,52
DsCzerStraza-O3-1g,2026-06-01 12:00:00,75.9,52
DsCzerStraza-O3-1g,2026-06-01 11:00:00,66.8,52
DsCzerStraza-O3-1g,2026-06-01 10:00:00,60.5,52
DsCzerStraza-O3-1g,2026-06-01 09:00:00,60.0,52
DsCzerStraza-O3-1g,2026-06-01 08:00:00,72.6,52
DsCzerStraza-O3-1g,2026-06-01 07:00:00,79.9,52
DsCzerStraza-O3-1g,2026-06-01 06:00:00,83.6,52
DsCzerStraza-O3-1g,2026-06-01 05:00:00,78.3,52
DsCzerStraza-O3-1g,2026-06-01 04:00:00,79.7,52
DsCzerStraza-O3-1g,2026-06-01 03:00:00,97.1,52
DsCzerStraza-O3-1g,2026-06-01 02:00:00,,52
DsCzerStraza-O3-1g,2026-06-01 01:00:00,80.3,52
DsCzerStraza-O3-1g,2026-06-01 00:00:00,93.5,52
DsCzerStraza-PM10-1g,2026-06-01 19:00:00,,54
DsCzerStraza-PM10-1g,2026-06-01 18:00:00,15.8,54
DsCzerStraza-PM10-1g,2026-06-01 17:00:00,17.1,54
DsCzerStraza-PM10-1g,2026-06-01 16:00:00,14.6,54
DsCzerStraza-PM10-1g,2026-06-01 15:00:00,16.5,54
DsCzerStraza-PM10-1g,2026-06-01 14:00:00,22.1,54
DsCzerStraza-PM10-1g,2026-06-01 13:00:00,19.6,54
DsCzerStraza-PM10-1g,2026-06-01 12:00:00,23.2,54
DsCzerStraza-PM10-1g,2026-06-01 11:00:00,24.0,54
DsCzerStraza-PM10-1g,2026-06-01 10:00:00,22.2,54
DsCzerStraza-PM10-1g,2026-06-01 09:00:00,18.7,54
DsCzerStraza-PM10-1g,2026-06-01 08:00:00,9.9,54
DsCzerStraza-PM10-1g,2026-06-01 07:00:00,13.4,54
DsCzerStraza-PM10-1g,2026-06-01 06:00:00,11.3,54
DsCzerStraza-PM10-1g,2026-06-01 05:00:00,7.2,54
DsCzerStraza-PM10-1g,2026-06-01 04:00:00,5.0,54
DsCzerStraza-PM10-1g,2026-06-01 03:00:00,6.4,54
DsCzerStraza-PM10-1g,2026-06-01 02:00:00,7.3,54
DsCzerStraza-PM10-1g,2026-06-01 01:00:00,10.3,54
DsCzerStraza-PM10-1g,2026-06-01 00:00:00,11.4,54
DsDziePilsud-PM10-1g,2026-06-01 19:00:00,,101
DsDziePilsud-PM10-1g,2026-06-01 18:00:00,14.7,101
DsDziePilsud-PM10-1g,2026-06-01 17:00:00,19.4,101
DsDziePilsud-PM10-1g,2026-06-01 16:00:00,16.8,101
DsDziePilsud-PM10-1g,2026-06-01 15:00:00,21.5,101
DsDziePilsud-PM10-1g,2026-06-01 14:00:00,20.8,101
DsDziePilsud-PM10-1g,2026-06-01 13:00:00,17.8,101
DsDziePilsud-PM10-1g,2026-06-01 12:00:00,17.3,101
DsDziePilsud-PM10-1g,2026-06-01 11:00:00,12.6,101
DsDziePilsud-PM10-1g,2026-06-01 10:00:00,14.9,101
DsDziePilsud-PM10-1g,2026-06-01 09:00:00,16.2,101
DsDziePilsud-PM10-1g,2026-06-01 08:00:00,12.0,101
DsDziePilsud-PM10-1g,2026-06-01 07:00:00,14.0,101
DsDziePilsud-PM10-1g,2026-06-01 06:00:00,12.5,101
DsDziePilsud-PM10-1g,2026-06-01 05:00:00,11.9,101
DsDziePilsud-PM10-1g,2026-06-01 04:00:00,12.4,101
DsDziePilsud-PM10-1g,2026-06-01 03:00:00,11.8,101
DsDziePilsud-PM10-1g,2026-06-01 02:00:00,12.3,101
DsDziePilsud-PM10-1g,2026-06-01 01:00:00,16.8,101
DsDziePilsud-PM10-1g,2026-06-01 00:00:00,10.6,101
DsKlodzSzkol-NO-1g,2026-06-01 19:00:00,0.8,220
DsKlodzSzkol-NO-1g,2026-06-01 18:00:00,0.9,220
DsKlodzSzkol-NO-1g,2026-06-01 17:00:00,0.9,220
DsKlodzSzkol-NO-1g,2026-06-01 16:00:00,1.0,220
DsKlodzSzkol-NO-1g,2026-06-01 15:00:00,0.8,220
DsKlodzSzkol-NO-1g,2026-06-01 14:00:00,4.4,220
DsKlodzSzkol-NO-1g,2026-06-01 13:00:00,1.6,220
DsKlodzSzkol-NO-1g,2026-06-01 12:00:00,2.6,220
DsKlodzSzkol-NO-1g,2026-06-01 11:00:00,2.4,220
DsKlodzSzkol-NO-1g,2026-06-01 10:00:00,2.9,220
DsKlodzSzkol-NO-1g,2026-06-01 09:00:00,2.8,220
DsKlodzSzkol-NO-1g,2026-06-01 08:00:00,1.8,220
DsKlodzSzkol-NO-1g,2026-06-01 07:00:00,1.2,220
DsKlodzSzkol-NO-1g,2026-06-01 06:00:00,1.0,220
DsKlodzSzkol-NO-1g,2026-06-01 05:00:00,0.8,220
DsKlodzSzkol-NO-1g,2026-06-01 04:00:00,0.7,220
DsKlodzSzkol-NO-1g,2026-06-01 03:00:00,0.6,220
DsKlodzSzkol-NO-1g,2026-06-01 02:00:00,0.7,220
DsKlodzSzkol-NO-1g,2026-06-01 01:00:00,,220
DsKlodzSzkol-NO-1g,2026-06-01 00:00:00,0.8,220
DsKlodzSzkol-NO2-1g,2026-06-01 19:00:00,4.6,221
DsKlodzSzkol-NO2-1g,2026-06-01 18:00:00,3.8,221
DsKlodzSzkol-NO2-1g,2026-06-01 17:00:00,3.6,221
DsKlodzSzkol-NO2-1g,2026-06-01 16:00:00,6.0,221
DsKlodzSzkol-NO2-1g,2026-06-01 15:00:00,2.5,221
DsKlodzSzkol-NO2-1g,2026-06-01 14:00:00,7.2,221
DsKlodzSzkol-NO2-1g,2026-06-01 13:00:00,7.0,221
DsKlodzSzkol-NO2-1g,2026-06-01 12:00:00,16.7,221
DsKlodzSzkol-NO2-1g,2026-06-01 11:00:00,13.4,221
DsKlodzSzkol-NO2-1g,2026-06-01 10:00:00,15.4,221
DsKlodzSzkol-NO2-1g,2026-06-01 09:00:00,15.4,221
DsKlodzSzkol-NO2-1g,2026-06-01 08:00:00,13.0,221
DsKlodzSzkol-NO2-1g,2026-06-01 07:00:00,9.7,221
DsKlodzSzkol-NO2-1g,2026-06-01 06:00:00,8.5,221
DsKlodzSzkol-NO2-1g,2026-06-01 05:00:00,7.2,221
DsKlodzSzkol-NO2-1g,2026-06-01 04:00:00,3.4,221
DsKlodzSzkol-NO2-1g,2026-06-01 03:00:00,3.1,221
DsKlodzSzkol-NO2-1g,2026-06-01 02:00:00,4.2,221
DsKlodzSzkol-NO2-1g,2026-06-01 01:00:00,,221
DsKlodzSzkol-NO2-1g,2026-06-01 00:00:00,6.3,221
DsKlodzSzkol-NOx-1g,2026-06-01 19:00:00,5.9,222
DsKlodzSzkol-NOx-1g,2026-06-01 18:00:00,5.1,222
DsKlodzSzkol-NOx-1g,2026-06-01 17:00:00,5.0,222
DsKlodzSzkol-NOx-1g,2026-06-01 16:00:00,7.4,222
DsKlodzSzkol-NOx-1g,2026-06-01 15:00:00,3.7,222
DsKlodzSzkol-NOx-1g,2026-06-01 14:00:00,13.9,222
DsKlodzSzkol-NOx-1g,2026-06-01 13:00:00,9.5,222
DsKlodzSzkol-NOx-1g,2026-06-01 12:00:00,20.7,222
DsKlodzSzkol-NOx-1g,2026-06-01 11:00:00,17.1,222
DsKlodzSzkol-NOx-1g,2026-06-01 10:00:00,19.8,222
DsKlodzSzkol-NOx-1g,2026-06-01 09:00:00,19.6,222
DsKlodzSzkol-NOx-1g,2026-06-01 08:00:00,15.7,222
DsKlodzSzkol-NOx-1g,2026-06-01 07:00:00,11.5,222
DsKlodzSzkol-NOx-1g,2026-06-01 06:00:00,10.1,222
DsKlodzSzkol-NOx-1g,2026-06-01 05:00:00,8.5,222
DsKlodzSzkol-NOx-1g,2026-06-01 04:00:00,4.4,222
DsKlodzSzkol-NOx-1g,2026-06-01 03:00:00,4.1,222
DsKlodzSzkol-NOx-1g,2026-06-01 02:00:00,5.3,222
DsKlodzSzkol-NOx-1g,2026-06-01 01:00:00,,222
DsKlodzSzkol-NOx-1g,2026-06-01 00:00:00,7.6,222
DsKlodzSzkol-O3-1g,2026-06-01 19:00:00,81.4,223
DsKlodzSzkol-O3-1g,2026-06-01 18:00:00,82.8,223
DsKlodzSzkol-O3-1g,2026-06-01 17:00:00,84.0,223
DsKlodzSzkol-O3-1g,2026-06-01 16:00:00,79.6,223
DsKlodzSzkol-O3-1g,2026-06-01 15:00:00,87.3,223
DsKlodzSzkol-O3-1g,2026-06-01 14:00:00,79.5,223
DsKlodzSzkol-O3-1g,2026-06-01 13:00:00,73.2,223
DsKlodzSzkol-O3-1g,2026-06-01 12:00:00,51.1,223
DsKlodzSzkol-O3-1g,2026-06-01 11:00:00,55.9,223
DsKlodzSzkol-O3-1g,2026-06-01 10:00:00,50.4,223
DsKlodzSzkol-O3-1g,2026-06-01 09:00:00,38.5,223
DsKlodzSzkol-O3-1g,2026-06-01 08:00:00,25.1,223
DsKlodzSzkol-O3-1g,2026-06-01 07:00:00,28.9,223
DsKlodzSzkol-O3-1g,2026-06-01 06:00:00,27.3,223
DsKlodzSzkol-O3-1g,2026-06-01 05:00:00,22.8,223
DsKlodzSzkol-O3-1g,2026-06-01 04:00:00,35.8,223
DsKlodzSzkol-O3-1g,2026-06-01 03:00:00,46.9,223
DsKlodzSzkol-O3-1g,2026-06-01 02:00:00,,223
DsKlodzSzkol-O3-1g,2026-06-01 01:00:00,47.6,223
DsKlodzSzkol-O3-1g,2026-06-01 00:00:00,46.6,223
DsKlodzSzkol-PM10-1g,2026-06-01 19:00:00,16.0,224
DsKlodzSzkol-PM10-1g,2026-06-01 18:00:00,20.0,224
DsKlodzSzkol-PM10-1g,2026-06-01 17:00:00,17.7,224
DsKlodzSzkol-PM10-1g,2026-06-01 16:00:00,18.4,224
DsKlodzSzkol-PM10-1g,2026-06-01 15:00:00,18.1,224
DsKlodzSzkol-PM10-1g,2026-06-01 14:00:00,19.1,224
DsKlodzSzkol-PM10-1g,2026-06-01 13:00:00,18.2,224
DsKlodzSzkol-PM10-1g,2026-06-01 12:00:00,24.4,224
DsKlodzSzkol-PM10-1g,2026-06-01 11:00:00,16.0,224
DsKlodzSzkol-PM10-1g,2026-06-01 10:00:00,15.7,224
DsKlodzSzkol-PM10-1g,2026-06-01 09:00:00,14.3,224
DsKlodzSzkol-PM10-1g,2026-06-01 08:00:00,16.1,224
DsKlodzSzkol-PM10-1g,2026-06-01 07:00:00,15.9,224
DsKlodzSzkol-PM10-1g,2026-06-01 06:00:00,17.2,224
DsKlodzSzkol-PM10-1g,2026-06-01 05:00:00,18.0,224
DsKlodzSzkol-PM10-1g,2026-06-01 04:00:00,16.7,224
DsKlodzSzkol-PM10-1g,2026-06-01 03:00:00,17.9,224
