Kod stanowiska,Data,Wartość,id_stacji
DsCzerStraza-NO-1g,2026-05-30 23:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-30 22:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-30 21:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-30 20:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-30 19:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 18:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 17:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-30 16:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-30 15:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 14:00:00,0.3,49
DsCzerStraza-NO-1g,2026-05-30 13:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 12:00:00,0.5,49
DsCzerStraza-NO-1g,2026-05-30 11:00:00,1.2,49
DsCzerStraza-NO-1g,2026-05-30 10:00:00,1.2,49
DsCzerStraza-NO-1g,2026-05-30 09:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 08:00:00,0.6,49
DsCzerStraza-NO-1g,2026-05-30 07:00:00,0.8,49
DsCzerStraza-NO-1g,2026-05-30 06:00:00,0.4,49
DsCzerStraza-NO-1g,2026-05-30 05:00:00,0.4,49
DsCzerStraza-NO-1g,2026-05-30 04:00:00,0.3,49
DsCzerStraza-NO2-1g,2026-05-30 23:00:00,1.5,50
DsCzerStraza-NO2-1g,2026-05-30 22:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-05-30 21:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-05-30 20:00:00,1.7,50
DsCzerStraza-NO2-1g,2026-05-30 19:00:00,1.8,50
DsCzerStraza-NO2-1g,2026-05-30 18:00:00,1.0,50
DsCzerStraza-NO2-1g,2026-05-30 17:00:00,1.3,50
DsCzerStraza-NO2-1g,2026-05-30 16:00:00,1.3,50
DsCzerStraza-NO2-1g,2026-05-30 15:00:00,2.0,50
DsCzerStraza-NO2-1g,2026-05-30 14:00:00,1.5,50
DsCzerStraza-NO2-1g,2026-05-30 13:00:00,1.8,50
DsCzerStraza-NO2-1g,2026-05-30 12:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-05-30 11:00:00,4.2,50
DsCzerStraza-NO2-1g,2026-05-30 10:00:00,4.5,50
DsCzerStraza-NO2-1g,2026-05-30 09:00:00,2.7,50
DsCzerStraza-NO2-1g,2026-05-30 08:00:00,1.9,50
DsCzerStraza-NO2-1g,2026-05-30 07:00:00,3.5,50
DsCzerStraza-NO2-1g,2026-05-30 06:00:00,3.1,50
DsCzerStraza-NO2-1g,2026-05-30 05:00:00,3.7,50
DsCzerStraza-NO2-1g,2026-05-30 04:00:00,5.0,50
DsCzerStraza-NOx-1g,2026-05-30 23:00:00,1.9,51
DsCzerStraza-NOx-1g,2026-05-30 22:00:00,2.4,51
DsCzerStraza-NOx-1g,2026-05-30 21:00:00,2.7,51
DsCzerStraza-NOx-1g,2026-05-30 20:00:00,2.2,51
DsCzerStraza-NOx-1g,2026-05-30 19:00:00,2.6,51
DsCzerStraza-NOx-1g,2026-05-30 18:00:00,1.9,51
DsCzerStraza-NOx-1g,2026-05-30 17:00:00,2.1,51
DsCzerStraza-NOx-1g,2026-05-30 16:00:00,2.0,51
DsCzerStraza-NOx-1g,2026-05-30 15:00:00,2.9,51
DsCzerStraza-NOx-1g,2026-05-30 14:00:00,1.9,51
DsCzerStraza-NOx-1g,2026-05-30 13:00:00,2.7,51
DsCzerStraza-NOx-1g,2026-05-30 12:00:00,2.7,51
DsCzerStraza-NOx-1g,2026-05-30 11:00:00,6.0,51
DsCzerStraza-NOx-1g,2026-05-30 10:00:00,6.4,51
DsCzerStraza-NOx-1g,2026-05-30 09:00:00,3.6,51
DsCzerStraza-NOx-1g,2026-05-30 08:00:00,2.8,51
DsCzerStraza-NOx-1g,2026-05-30 07:00:00,4.8,51
DsCzerStraza-NOx-1g,2026-05-30 06:00:00,3.7,51
DsCzerStraza-NOx-1g,2026-05-30 05:00:00,4.3,51
DsCzerStraza-NOx-1g,2026-05-30 04:00:00,5.5,51
DsCzerStraza-O3-1g,2026-05-30 23:00:00,82.9,52
DsCzerStraza-O3-1g,2026-05-30 22:00:00,84.8,52
DsCzerStraza-O3-1g,2026-05-30 21:00:00,87.7,52
DsCzerStraza-O3-1g,2026-05-30 20:00:00,91.3,52
DsCzerStraza-O3-1g,2026-05-30 19:00:00,98.0,52
DsCzerStraza-O3-1g,2026-05-30 18:00:00,99.9,52
DsCzerStraza-O3-1g,2026-05-30 17:00:00,101.0,52
DsCzerStraza-O3-1g,2026-05-30 16:00:00,102.5,52
DsCzerStraza-O3-1g,2026-05-30 15:00:00,110.8,52
DsCzerStraza-O3-1g,2026-05-30 14:00:00,110.5,52
